agent_id,demand,supply,personality
1,-1.5,-1.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": ""<5 лет""}"
2,-1.5,-1.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": "">5 лет""}"
3,-1.5,-1.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": ""<5 лет""}"
4,-1.5,-1.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": "">5 лет""}"
5,-1.5,-1.5,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": ""<5 лет""}"
6,-1.5,-1.5,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": "">5 лет""}"
7,-1.5,-1.5,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": ""<5 лет""}"
8,-1.5,-1.5,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": "">5 лет""}"
9,-1.5,-1,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": ""<5 лет""}"
10,-1.5,-1,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": "">5 лет""}"
11,-1.5,-1,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": ""<5 лет""}"
12,-1.5,-1,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": "">5 лет""}"
13,-1.5,-1,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": ""<5 лет""}"
14,-1.5,-1,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": "">5 лет""}"
15,-1.5,-1,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": ""<5 лет""}"
16,-1.5,-1,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": "">5 лет""}"
17,-1.5,-0.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": ""<5 лет""}"
18,-1.5,-0.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": "">5 лет""}"
19,-1.5,-0.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": ""<5 лет""}"
20,-1.5,-0.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": "">5 лет""}"
21,-1.5,-0.5,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": ""<5 лет""}"
22,-1.5,-0.5,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": "">5 лет""}"
23,-1.5,-0.5,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": ""<5 лет""}"
24,-1.5,-0.5,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": "">5 лет""}"
25,-1.5,0,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": ""<5 лет""}"
26,-1.5,0,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": "">5 лет""}"
27,-1.5,0,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": ""<5 лет""}"
28,-1.5,0,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": "">5 лет""}"
29,-1.5,0,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": ""<5 лет""}"
30,-1.5,0,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": "">5 лет""}"
31,-1.5,0,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": ""<5 лет""}"
32,-1.5,0,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": "">5 лет""}"
33,-1.5,0.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": ""<5 лет""}"
34,-1.5,0.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": "">5 лет""}"
35,-1.5,0.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": ""<5 лет""}"
36,-1.5,0.5,"{""доверие_к_данным"": ""высокое"", ""чувствительность_к_политическим_факторам"": ""высокая"", ""стаж"": "">5 лет""}"
37,-1.5,0.5,"{""доверие_к_данным"": ""низкое"", ""чувствительность_к_политическим_факторам"": ""низкая"", ""стаж"": ""<5 лет""}"
